Month,Business Days,BU,AHT,Attrition Count,Attrition %,Shrink,Monthly System Outage (hours),Daily System Outage (hours),Monthly Sameday Callout (hours),Daily Sameday Callout (hours),Monthly Unplanned Out (hours),Daily Unplanned Out (hours),Monthly Planned Out (hours),Daily Planned Out (hours),Adherence,Conformance,ACW/ Call (seconds),AVG Hold Time (seconds),Monthly Processing-No Work (minutes),Daily Processing-No Work (minutes)
Jan-2019,21,RAM,853,4,4.49%,34.06%,0.00,0.00,1268.03,60.38,68.75,3.27,441.00,21.00,90.08%,94.03%,N/A,N/A,N/A,#VALUE!
Feb-2019,19,RAM,904,3,2.83%,34.85%,0.00,0.00,980.50,51.61,77.75,4.09,637.00,33.53,90.40%,93.44%,N/A,N/A,N/A,#VALUE!
Mar-2019,22,RAM,913,8,8.25%,34.99%,0.00,0.00,854.08,38.82,129.75,5.90,856.00,38.91,92.01%,94.89%,N/A,N/A,N/A,#VALUE!
Apr-2019,21,RAM,897,6,6.00%,27.08%,0.00,0.00,753.75,35.89,60.50,2.88,710.77,33.85,92.52%,95.79%,N/A,N/A,N/A,#VALUE!
May-2019,20,RAM,948,7,6.36%,36.20%,0.00,0.00,820.33,41.02,106.25,5.31,1155.98,57.80,92.17%,96.09%,N/A,N/A,N/A,#VALUE!
Jun-2019,22,RAM,1052,23,25.56%,36.83%,0.00,0.00,890.00,40.45,138.00,6.27,928.30,42.20,93.69%,96.76%,N/A,N/A,N/A,#VALUE!
Jul-2019,22,RAM,943,4,4.65%,33.32%,0.00,0.00,681.67,30.98,135.75,6.17,819.50,37.25,92.82%,95.55%,N/A,N/A,N/A,#VALUE!
Aug-2019,21,RAM,968,4,4.88%,33.98%,0.00,0.00,467.92,22.28,53.50,2.55,853.75,40.65,91.80%,92.53%,N/A,N/A,N/A,#VALUE!
Sep-2019,21,RAM,994,2,2.11%,28.67%,0.00,0.00,527.50,25.12,216.25,10.30,579.50,27.60,91.14%,93.32%,N/A,N/A,N/A,#VALUE!
Oct-2019,22,RAM,1040,0,0.00%,33.25%,2.23,0.10,542.75,24.67,286.00,13.00,840.75,38.22,91.14%,93.97%,N/A,N/A,N/A,#VALUE!
Nov-2019,20,RAM,966,7,8.05%,36.79%,0.75,0.04,510.50,25.53,87.50,4.38,897.00,44.85,93.27%,96.15%,N/A,N/A,N/A,#VALUE!
Dec-2019,22,RAM,1009,2,2.35%,26.91%,0,0.14,790.25,35.92,51.00,2.32,781.50,35.52,93.87%,97.00%,N/A,N/A,4689.30,213.15
Jan-2020,21,RAM,899,6,7.59%,31.31%,3.00,0.06,858.55,40.88,87.00,4.14,546.50,26.02,94.27%,96.62%,N/A,N/A,1593.28,75.87063492
Feb-2020,19,RAM,935,8,8.89%,35.84%,1.17,1.63,1001.77,52.72,29.25,1.54,577.50,30.39,94.25%,96.42%,N/A,N/A,1225.00,64.47368421
Mar-2020,21,RAM,1084,2,2.27%,24.03%,30.92,2.50,820.23,39.06,81.17,3.87,639.50,30.45,94.35%,92.88%,N/A,N/A,4190.77,199.5603175
Apr-2020,21,RAM,1125,3,3.53%,26.60%,52.60,1.29,454.08,21.62,39.40,1.88,285.00,13.57,95.25%,97.39%,N/A,N/A,20430.98,972.9039683
May-2020,22,RAM,1110,1,1.11%,32.72%,27.15,2.39,404.80,18.40,61.00,2.77,429.00,19.50,95.39%,97.27%,N/A,N/A,25088.07,1140.366667
Jun-2020,20,RAM,1079,4,4.44%,32.67%,52.65,1.47,574.50,28.73,23.75,1.19,1064.98,53.25,94.48%,96.55%,N/A,N/A,2117.13,105.8566667
Jul-2020,22,RAM,1096,3,3.45%,33.00%,29.40,1.29,365.08,16.59,25.00,1.14,1066.50,48.48,95.09%,97.00%,N/A,N/A,1469.22,66.78257576
Aug-2020,22,RAM,1125,5,6.10%,34.00%,28.40,1.29,449.00,20.41,28.00,1.27,1067.00,48.50,93.93%,97.00%,N/A,N/A,325.00,14.77272727
Sep-2020,20,RAM,1110,7,7.37%,34.00%,52.65,2.63,530.00,26.50,27.00,1.35,1069.00,53.45,94.78%,96.00%,N/A,N/A,341.00,17.05
Oct-2020,23,RAM,1080,7,7.95%,39.00%,52.74,2.29,545.00,23.70,29.00,1.26,1100.00,47.83,93.89%,96.00%,N/A,N/A,562.00,24.43478261
Nov-2020,20,RAM,1060,7,8.64%,39.00%,29.60,1.48,520.00,26.00,30.00,1.50,1160.00,58.00,95.03%,96.00%,N/A,N/A,812.00,40.6
Dec-2020,21,RAM,1040,6,8.00%,32.00%,28.50,1.36,850.00,40.48,32.00,1.52,1250.00,59.52,94.15%,97.00%,N/A,N/A,1274.00,60.66666667
Jan-2019,21,WISE,549,12,4.32%,27.01%,4.68,0.22,4462.00,212.48,272.83,12.99,1920.73,91.46,90.36%,93.82%,106,67,N/A,N/A
Feb-2019,19,WISE,549,20,7.30%,30.47%,4.77,0.25,4117.12,216.69,335.00,17.63,2159.12,113.64,88.65%,92.56%,91,69,N/A,N/A
Mar-2019,22,WISE,553,29,11.20%,29.65%,20.72,0.94,3986.02,181.18,263.50,11.98,2587.40,117.61,89.89%,94.57%,80,64,N/A,N/A
Apr-2019,21,WISE,544,5,1.67%,29.05%,7.75,0.37,2983.08,142.05,241.00,11.48,3478.82,165.66,90.89%,96.09%,74,59,N/A,N/A
May-2019,20,WISE,543,15,4.87%,31.33%,38.60,1.93,2644.80,132.24,274.00,13.70,3757.27,187.86,90.14%,95.24%,86,62,N/A,N/A
Jun-2019,22,WISE,553,46,15.03%,33.35%,12.58,0.57,2556.62,116.21,381.50,17.34,3628.28,164.92,89.85%,94.92%,85,62,N/A,N/A
Jul-2019,22,WISE,573,20,6.76%,28.22%,5.18,0.24,3100.77,140.94,239.50,10.89,3028.30,137.65,90.57%,95.45%,78,69,N/A,N/A
Aug-2019,21,WISE,551,16,5.37%,27.20%,0.28,0.01,2767.82,131.80,157.25,7.49,2586.23,123.15,91.35%,97.27%,82,61,N/A,N/A
Sep-2019,21,WISE,545,15,5.28%,28.56%,2.00,0.10,2934.93,139.76,108.00,5.14,2247.58,107.03,91.11%,96.61%,86,63,N/A,N/A
Oct-2019,22,WISE,541,15,5.32%,30.20%,228.17,10.37,3349.15,152.23,119.50,5.43,4105.47,186.61,90.59%,95.16%,89,60,N/A,N/A
Nov-2019,20,WISE,555,16,5.59%,28.64%,7.33,0.37,3529.25,176.46,173.92,8.70,3110.03,155.50,91.02%,95.21%,89,60,N/A,N/A
Dec-2019,22,WISE,566,21,7.92%,31.96%,6.53,0.30,4513.47,205.16,246.58,11.21,4173.12,189.69,90.49%,94.55%,92,71,N/A,N/A
Jan-2020,21,WISE,544,14,4.96%,29.04%,3.42,0.16,4705.90,224.09,533.75,25.42,2398.97,114.24,91.10%,95.02%,82,61,N/A,N/A
Feb-2020,19,WISE,559,11,3.82%,31.19%,72.17,3.80,4212.57,221.71,260.25,13.70,2524.65,132.88,91.61%,96.68%,83,67,N/A,N/A
Mar-2020,21,WISE,584,22,7.97%,25.56%,34.88,1.66,3473.22,165.39,188.50,8.98,2635.73,125.51,90.78%,91.00%,97,65,N/A,N/A
Apr-2020,21,WISE,694,14,5.20%,23.94%,227.77,10.85,2180.43,103.83,380.83,18.13,1557.33,74.16,90.13%,95.04%,106,83,N/A,N/A
May-2020,22,WISE,691,14,5.24%,28.40%,195.73,8.90,2354.65,107.03,418.50,19.02,2859.58,129.98,90.35%,94.76%,108,73,N/A,N/A
Jun-2020,20,WISE,662,24,9.16%,32.05%,301.07,15.05,2580.68,129.03,569.25,28.46,4317.92,215.90,89.63%,93.31%,109,75,N/A,N/A
Jul-2020,22,WISE,684,14,5.65%,32.01%,313.75,14.26,2784.13,126.55,910.67,41.39,4551.25,206.88,89.54%,94.00%,106,82,N/A,N/A
Aug-2020,22,WISE,676,17,5.76%,31.00%,128.82,5.86,1216.63,55.30,296.50,13.48,2285.25,103.88,89.75%,95.00%,111,83,N/A,N/A
Sep-2020,20,WISE,635,19,6.00%,29.00%,,,,,,,,,,95.00%,,,N/A,N/A
Oct-2020,23,WISE,620,18,6.00%,29.00%,,,,,,,,,,95.00%,,,N/A,N/A
Nov-2020,20,WISE,610,18,6.00%,30.00%,,,,,,,,,,95.00%,,,N/A,N/A
Dec-2020,21,WISE,600,20,7.00%,32.00%,,,,,,,,,,95.00%,,,N/A,N/A
Jan-2019,21,RAM PD,N/A,0,0.00%,14.19%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.03%,N/A,N/A,N/A,N/A
Feb-2019,19,RAM PD,N/A,0,0.00%,11.34%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.44%,N/A,N/A,N/A,N/A
Mar-2019,22,RAM PD,N/A,0,0.00%,19.92%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.89%,N/A,N/A,N/A,N/A
Apr-2019,21,RAM PD,N/A,0,0.00%,13.92%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.79%,N/A,N/A,N/A,N/A
May-2019,20,RAM PD,N/A,1,8.00%,16.11%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.09%,N/A,N/A,N/A,N/A
Jun-2019,22,RAM PD,N/A,1,8.00%,34.44%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.76%,N/A,N/A,N/A,N/A
Jul-2019,22,RAM PD,N/A,3,33.00%,26.12%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.55%,N/A,N/A,N/A,N/A
Aug-2019,21,RAM PD,N/A,0,0.00%,24.02%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.53%,N/A,N/A,N/A,N/A
Sep-2019,21,RAM PD,N/A,0,0.00%,20.39%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.32%,N/A,N/A,N/A,N/A
Oct-2019,22,RAM PD,N/A,0,0.00%,2.75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.97%,N/A,N/A,N/A,N/A
Nov-2019,20,RAM PD,N/A,0,0.00%,24.04%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.15%,N/A,N/A,N/A,N/A
Dec-2019,22,RAM PD,N/A,0,0.00%,18.97%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.00%,N/A,N/A,N/A,N/A
Jan-2020,21,RAM PD,N/A,2,11.00%,25.08%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.62%,N/A,N/A,N/A,N/A
Feb-2020,19,RAM PD,N/A,1,5.00%,22.69%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.42%,N/A,N/A,N/A,N/A
Mar-2020,21,RAM PD,N/A,1,3.00%,23.37%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.88%,N/A,N/A,N/A,N/A
Apr-2020,21,RAM PD,N/A,3,11.00%,15.68%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.39%,N/A,N/A,N/A,N/A
May-2020,22,RAM PD,N/A,2,8.00%,16.84%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.27%,N/A,N/A,N/A,N/A
Jun-2020,20,RAM PD,N/A,2,8.00%,24.62%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.55%,N/A,N/A,N/A,N/A
Jul-2020,22,RAM PD,N/A,1,4.00%,15.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.00%,N/A,N/A,N/A,N/A
Aug-2020,22,RAM PD,N/A,3,15.00%,23.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.00%,N/A,N/A,N/A,N/A
Sep-2020,20,RAM PD,N/A,3,9.00%,25.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.00%,N/A,N/A,N/A,N/A
Oct-2020,23,RAM PD,N/A,2,5.00%,22.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.00%,N/A,N/A,N/A,N/A
Nov-2020,20,RAM PD,N/A,1,2.00%,23.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.00%,N/A,N/A,N/A,N/A
Dec-2020,21,RAM PD,N/A,1,3.00%,20.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.00%,N/A,N/A,N/A,N/A
Jan-2019,21,RIS,585,10,8.00%,32.00%,5.75,0.27,1729.12,82.34,78.25,3.73,187.00,8.90,92.00%,93.00%,156.57,75.98,N/A,N/A
Feb-2019,19,RIS,604,18,17.00%,52.00%,6.07,0.32,1523.58,80.19,80.50,4.24,297.25,15.64,92.00%,95.00%,180.44,83.43,N/A,N/A
Mar-2019,22,RIS,589,8,7.00%,36.00%,6.25,0.28,1092.92,49.68,237.00,10.77,231.33,10.52,93.00%,97.00%,152.49,72.44,N/A,N/A
Apr-2019,21,RIS,566,5,4.00%,34.00%,2.85,0.14,1087.08,51.77,69.75,3.32,193.50,9.21,95.00%,98.00%,138.87,62.30,N/A,N/A
May-2019,20,RIS,554,16,14.00%,49.00%,13.57,0.68,1204.68,60.23,32.25,1.61,577.75,28.89,94.00%,98.00%,143.33,56.26,N/A,N/A
Jun-2019,22,RIS,593,17,16.00%,50.00%,9.43,0.43,726.85,33.04,69.25,3.15,468.75,21.31,94.00%,98.00%,159.47,64.75,N/A,N/A
Jul-2019,22,RIS,617,14,14.00%,45.00%,5.40,0.25,1016.45,46.20,167.00,7.59,692.50,31.48,94.00%,100.00%,169.27,74.02,N/A,N/A
Aug-2019,21,RIS,637,14,16.00%,53.00%,3.45,0.16,778.77,37.08,102.00,4.86,479.73,22.84,94.00%,101.00%,200.05,78.51,N/A,N/A
